method,positive_1,all_labels
shap_vs_ig,0.0001 ± 0.0008,0.0001 ± 0.0008
shap_vs_deeplift,0.0008 ± 0.0018,0.0012 ± 0.0025
shap_vs_occlusion,0.0175 ± 0.0159,0.0199 ± 0.0178
shap_vs_gradcam,0.1985 ± 0.0730,0.2106 ± 0.0825
ig_vs_deeplift,0.0007 ± 0.0016,0.0011 ± 0.0022
ig_vs_occlusion,0.0174 ± 0.0158,0.0197 ± 0.0178
ig_vs_gradcam,0.1986 ± 0.0730,0.2106 ± 0.0825
deeplift_vs_occlusion,0.0171 ± 0.0150,0.0197 ± 0.0180
deeplift_vs_gradcam,0.1987 ± 0.0735,0.2109 ± 0.0826
occlusion_vs_gradcam,0.1936 ± 0.0719,0.2084 ± 0.0814
