epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.6422218084335327,,
0,79,,0.6260597705841064,0.6648275852203369
1,99,0.6625195145606995,,
1,149,0.6170417070388794,,
1,159,,0.5967599749565125,0.6979310512542725
2,199,0.6405622363090515,,
2,239,,0.5713775157928467,0.7103448510169983
3,249,0.6499999761581421,,
3,299,0.6543484926223755,,
3,319,,0.5683053731918335,0.7213793396949768
4,349,0.6354819536209106,,
4,399,0.5314343571662903,,
4,399,,0.5434234142303467,0.725517213344574
5,449,0.5207939743995667,,
5,479,,0.5368532538414001,0.7462068796157837
6,499,0.6235478520393372,,
6,549,0.548736572265625,,
6,559,,0.5343085527420044,0.7434482574462891
7,599,0.5258804559707642,,
7,639,,0.5143784880638123,0.7558620572090149
8,649,0.5384714603424072,,
8,699,0.6689845323562622,,
8,719,,0.516588568687439,0.7627586126327515
9,749,0.5628292560577393,,
9,799,0.5103232860565186,,
9,799,,0.5046110153198242,0.7668965458869934
10,849,0.5890084505081177,,
10,879,,0.49718812108039856,0.7765517234802246
11,899,0.5180050134658813,,
11,949,0.5705850124359131,,
11,959,,0.4958012104034424,0.7862069010734558
12,999,0.5095825791358948,,
12,1039,,0.4873817265033722,0.7834482789039612
13,1049,0.42416542768478394,,
13,1099,0.5848143696784973,,
13,1119,,0.495808869600296,0.7834482789039612
14,1149,0.5470406413078308,,
14,1199,0.44147172570228577,,
14,1199,,0.4807358384132385,0.7806896567344666
15,1249,0.45236724615097046,,
15,1279,,0.47769829630851746,0.7889655232429504
16,1299,0.3602651059627533,,
16,1349,0.5661987066268921,,
16,1359,,0.47306182980537415,0.7875862121582031
17,1399,0.47084856033325195,,
17,1439,,0.4772946238517761,0.7848275899887085
18,1449,0.45095759630203247,,
18,1499,0.41711997985839844,,
18,1519,,0.47220879793167114,0.7862069010734558
19,1549,0.4185863137245178,,
19,1599,0.263355553150177,,
19,1599,,0.4706782102584839,0.7875862121582031
20,1649,0.3832026422023773,,
20,1679,,0.483470618724823,0.7655172348022461
21,1699,0.321408748626709,,
21,1749,0.3919859528541565,,
21,1759,,0.4784492552280426,0.7779310345649719
22,1799,0.3348800241947174,,
22,1839,,0.4728429615497589,0.7889655232429504
23,1849,0.4478558301925659,,
23,1899,0.36158812046051025,,
23,1919,,0.47935131192207336,0.77379310131073
24,1949,0.33841753005981445,,
24,1999,0.38351544737815857,,
24,1999,,0.47228848934173584,0.7751724123954773
25,2049,0.35653507709503174,,
25,2079,,0.46448102593421936,0.7875862121582031
26,2099,0.514266848564148,,
26,2149,0.4823981821537018,,
26,2159,,0.4707755744457245,0.769655168056488
27,2199,0.25992918014526367,,
27,2239,,0.4740997850894928,0.7820689678192139
28,2249,0.35753685235977173,,
28,2299,0.4070589542388916,,
28,2319,,0.4770151376724243,0.7724137902259827
29,2349,0.41937845945358276,,
29,2399,0.31496840715408325,,
29,2399,,0.4797859489917755,0.77379310131073
30,2449,0.3570670485496521,,
30,2479,,0.47540995478630066,0.7710344791412354
31,2499,0.3277079463005066,,
31,2549,0.3456215560436249,,
31,2559,,0.4699610769748688,0.7820689678192139
32,2599,0.4601036012172699,,
32,2639,,0.4947148561477661,0.7682758569717407
33,2649,0.32466447353363037,,
33,2699,0.3803575038909912,,
33,2719,,0.47533321380615234,0.7779310345649719
34,2749,0.3826248347759247,,
34,2799,0.47396716475486755,,
34,2799,,0.47109007835388184,0.7806896567344666
35,2849,0.31025606393814087,,
35,2879,,0.4869981110095978,0.7710344791412354
