method,positive_1,all_labels
shap_vs_ig,0.0000 ± 0.0003,0.0001 ± 0.0004
shap_vs_deeplift,0.0002 ± 0.0003,0.0002 ± 0.0005
shap_vs_occlusion,0.0189 ± 0.0168,0.0193 ± 0.0165
shap_vs_gradcam,0.1386 ± 0.0786,0.1416 ± 0.0802
ig_vs_deeplift,0.0002 ± 0.0002,0.0002 ± 0.0003
ig_vs_occlusion,0.0189 ± 0.0171,0.0193 ± 0.0166
ig_vs_gradcam,0.1386 ± 0.0787,0.1416 ± 0.0803
deeplift_vs_occlusion,0.0191 ± 0.0175,0.0195 ± 0.0170
deeplift_vs_gradcam,0.1383 ± 0.0781,0.1413 ± 0.0798
occlusion_vs_gradcam,0.1577 ± 0.0861,0.1597 ± 0.0890
