method,positive_1,all_labels
shap_vs_ig,0.0000 ± 0.0002,0.0000 ± 0.0002
shap_vs_deeplift,0.0003 ± 0.0005,0.0003 ± 0.0005
shap_vs_occlusion,0.0328 ± 0.0214,0.0309 ± 0.0201
shap_vs_gradcam,0.1505 ± 0.0827,0.1433 ± 0.0785
ig_vs_deeplift,0.0003 ± 0.0005,0.0003 ± 0.0004
ig_vs_occlusion,0.0328 ± 0.0213,0.0309 ± 0.0200
ig_vs_gradcam,0.1506 ± 0.0828,0.1433 ± 0.0786
deeplift_vs_occlusion,0.0328 ± 0.0219,0.0310 ± 0.0206
deeplift_vs_gradcam,0.1507 ± 0.0828,0.1435 ± 0.0786
occlusion_vs_gradcam,0.1785 ± 0.0878,0.1701 ± 0.0842
