epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.4135589599609375,0.8272251486778259
1,41,,0.3576771914958954,0.8952879309654236
2,49,0.4846167266368866,,
2,62,,0.3116854429244995,0.8952879309654236
3,83,,0.2769540846347809,0.8952879309654236
4,99,0.2551718056201935,,
4,104,,0.3900330662727356,0.8691099286079407
5,125,,0.248922660946846,0.9057591557502747
6,146,,0.2754881680011749,0.8743455410003662
7,149,0.2298610955476761,,
7,167,,0.31201598048210144,0.8586387634277344
8,188,,0.27823173999786377,0.8848167657852173
9,199,0.042019322514534,,
9,209,,0.37565603852272034,0.9005235433578491
10,230,,0.288415789604187,0.9005235433578491
11,249,0.02549368143081665,,
11,251,,0.350955992937088,0.9005235433578491
12,272,,0.39433619379997253,0.8481675386428833
13,293,,0.312495619058609,0.8848167657852173
14,299,0.07246815413236618,,
14,314,,0.3506852388381958,0.9162303805351257
15,335,,0.4224417209625244,0.9005235433578491
